PrimaryKey,moveFront_SelectionFactor,moveBackward_SelectionFactor,moveLeft_SelectionFactor,moveRight_SelectionFactor,skill0_SelectionFactor,skill1_SelectionFactor,skill2_SelectionFactor,skill3_SelectionFactor,skillExt0_SelectionFactor,skillExt1_SelectionFactor,skillExt2_SelectionFactor,skillExt3_SelectionFactor
51577364,0,1,2,2,0,0,0,0,0,0,0,0
51577365,0,0,2,2,0,2,0,2,2,0,0,0
51577366,0,2,2,2,0,0,2,0,2,0,0,0
51577367,0,1,2,2,2,0,0,0,0,0,0,0
51577368,0,1,2,2,0,0,0,0,0,0,0,0
51577600,0,2,2,2,2,0,2,2,2,0,0,0
51577601,0,0,2,2,0,2,0,2,0,0,0,0
51577602,0,1,2,2,0,0,2,0,0,0,0,0
51577603,0,2,2,2,2,0,0,0,0,2,0,0
51577604,0,1,2,2,0,0,0,0,0,0,0,0
51577605,0,1,2,2,0,2,0,2,0,0,0,0
51577606,0,2,2,2,0,0,2,0,0,0,0,0
51577607,0,0,2,2,2,0,0,0,0,0,0,0
51577608,0,1,2,2,0,0,0,0,0,0,0,0
51577616,0,2,2,2,2,0,2,2,2,0,0,0
51577617,0,0,2,2,0,2,0,2,2,2,0,0
51577618,0,0,2,2,0,0,2,0,2,0,0,0
51577619,0,2,2,2,2,0,0,0,0,2,0,0
51577620,0,1,2,2,0,0,0,0,0,0,0,0
51577621,0,0,2,2,0,2,0,2,2,2,0,0
51577622,0,1,2,2,0,0,2,0,2,0,0,0
51577623,0,0,2,2,2,0,0,0,0,2,0,0
51577624,0,1,2,2,0,0,0,0,0,2,0,0
51577856,0,2,2,2,2,0,2,2,2,0,2,0
51577857,0,0,2,2,0,2,0,2,0,0,0,0
51577858,0,2,2,2,0,0,2,0,0,0,2,0
51577859,0,1,2,2,2,0,0,0,0,0,2,0
51577860,0,2,2,2,0,0,0,0,0,0,0,0
51577861,0,2,2,2,0,2,0,2,0,0,0,0
51577862,0,2,2,2,0,0,2,0,0,0,2,0
51577863,0,1,2,2,2,0,0,0,0,0,2,0
51577864,0,0,2,2,0,0,0,0,0,0,0,0
51577872,0,2,2,2,2,0,2,2,2,0,2,0
51577873,0,2,2,2,0,2,0,2,2,0,2,0
51577874,0,0,2,2,0,0,2,0,2,0,2,0
51577875,0,1,2,2,2,0,0,0,0,2,0,0
51577876,0,0,2,2,0,0,0,0,0,0,0,0
51577877,0,1,2,2,0,2,0,2,2,0,2,0
51577878,0,0,2,2,0,0,2,0,2,2,2,0
51577879,0,2,2,2,2,0,0,0,0,0,0,0
51577880,0,0,2,2,0,0,0,0,0,2,0,0
51578112,0,2,2,2,2,0,2,2,2,0,2,0
51578113,0,0,2,2,0,2,0,2,0,0,0,0
51578114,0,1,2,2,0,0,2,0,0,0,2,0
51578115,0,1,2,2,2,0,0,0,0,0,2,0
51578116,0,0,2,2,0,0,0,0,0,0,0,0
51578117,0,0,2,2,0,2,0,2,0,0,0,0
51578118,0,1,2,2,0,0,2,0,0,0,2,0
51578119,0,2,2,2,2,0,0,0,0,0,2,0
51578120,0,1,2,2,0,0,0,0,0,0,0,0
51578128,0,2,2,2,2,0,2,2,2,0,2,0
51578129,0,1,2,2,0,2,0,2,2,0,2,0
51578130,0,0,2,2,0,0,2,0,2,2,2,0
51578131,0,1,2,2,2,0,0,0,0,2,0,0
51578132,0,2,2,2,0,0,0,0,2,0,2,0
51578133,0,0,2,2,0,2,0,2,2,0,2,0
51578134,0,2,2,2,0,0,2,0,2,0,2,0
51578135,0,1,2,2,2,0,0,0,0,0,0,0
51578136,0,2,2,2,0,0,0,0,0,0,0,0
51578368,0,2,2,2,2,0,2,2,0,0,0,0
51578369,0,1,2,2,0,2,0,2,0,0,0,0
51578370,0,1,2,2,0,0,2,0,0,0,0,0
51578371,0,1,2,2,2,0,0,0,0,0,0,0
51578372,0,0,2,2,0,0,0,0,0,0,0,0
51578373,0,1,2,2,0,2,0,2,0,0,0,0
51578374,0,0,2,2,0,0,2,0,0,0,0,0
51578375,0,1,2,2,2,0,0,0,0,0,0,0
51578376,0,0,2,2,0,0,0,0,0,0,0,0
51578384,0,2,2,2,2,0,2,2,0,0,0,0
51578385,0,0,2,2,0,2,0,2,0,0,0,0
51578386,0,2,2,2,0,0,2,0,0,0,0,0
51578387,0,0,2,2,2,0,0,0,0,0,0,0
51578388,0,0,2,2,0,0,0,0,0,0,0,0
51578389,0,0,2,2,0,2,0,2,0,0,0,0
51578390,0,1,2,2,0,0,2,0,0,0,0,0
51578391,0,2,2,2,2,0,0,0,0,0,0,0
51578392,0,0,2,2,0,0,0,0,0,0,0,0
51578624,0,2,2,2,2,0,2,2,2,0,0,0
51578625,0,1,2,2,0,2,0,2,0,0,0,0
51578626,0,2,2,2,0,0,2,0,0,0,0,0
51578627,0,0,2,2,2,0,0,0,2,0,0,0
51578628,0,0,2,2,0,0,0,0,0,0,0,0
51578629,0,0,2,2,0,2,0,2,0,0,0,0
51578630,0,2,2,2,0,0,2,0,2,0,0,0
51578631,0,0,2,2,2,0,0,0,0,0,0,0
51578632,0,2,2,2,0,0,0,0,0,0,0,0
51578640,0,2,2,2,2,0,2,2,2,0,0,0
51578641,0,1,2,2,0,2,0,2,2,0,0,0
51578642,0,0,2,2,0,0,2,0,2,0,0,0
51578643,0,2,2,2,2,0,0,0,0,0,0,0
51578644,0,1,2,2,0,0,0,0,0,0,0,0
51578645,0,0,2,2,0,2,0,2,2,0,0,0
51578646,0,2,2,2,0,0,2,0,2,0,0,0
51578647,0,1,2,2,2,0,0,0,0,0,0,0
51578648,0,1,2,2,0,0,0,0,0,0,0,0
51578880,0,2,2,2,2,0,2,2,2,0,0,0
51578881,0,0,2,2,0,2,0,2,0,0,0,0
51578882,0,1,2,2,0,0,2,0,0,0,0,0
51578883,0,2,2,2,2,0,0,0,0,2,0,0
51578884,0,1,2,2,0,0,0,0,0,0,0,0
51578885,0,1,2,2,0,2,0,2,0,0,0,0
51578886,0,2,2,2,0,0,2,0,0,0,0,0
51578887,0,0,2,2,2,0,0,0,0,0,0,0
51578888,0,1,2,2,0,0,0,0,0,0,0,0
51578896,0,2,2,2,2,0,2,2,2,0,0,0
51578897,0,0,2,2,0,2,0,2,2,2,0,0
51578898,0,0,2,2,0,0,2,0,2,0,0,0
51578899,0,2,2,2,2,0,0,0,0,2,0,0
51578900,0,1,2,2,0,0,0,0,0,0,0,0
51578901,0,0,2,2,0,2,0,2,2,2,0,0
51578902,0,1,2,2,0,0,2,0,2,0,0,0
51578903,0,0,2,2,2,0,0,0,0,2,0,0
51578904,0,1,2,2,0,0,0,0,0,2,0,0
51579136,0,2,2,2,2,0,2,2,2,0,2,0
51579137,0,0,2,2,0,2,0,2,0,0,0,0
51579138,0,2,2,2,0,0,2,0,0,0,2,0
51579139,0,1,2,2,2,0,0,0,0,0,2,0
51579140,0,2,2,2,0,0,0,0,0,0,0,0
51579141,0,2,2,2,0,2,0,2,0,0,0,0
51579142,0,2,2,2,0,0,2,0,0,0,2,0
51579143,0,1,2,2,2,0,0,0,0,0,2,0
51579144,0,0,2,2,0,0,0,0,0,0,0,0
51579152,0,2,2,2,2,0,2,2,2,0,2,0
51579153,0,2,2,2,0,2,0,2,2,0,2,0
51579154,0,0,2,2,0,0,2,0,2,0,2,0
51579155,0,1,2,2,2,0,0,0,0,2,0,0
51579156,0,0,2,2,0,0,0,0,0,0,0,0
51579157,0,1,2,2,0,2,0,2,2,0,2,0
51579158,0,0,2,2,0,0,2,0,2,2,2,0
51579159,0,2,2,2,2,0,0,0,0,0,0,0
51579160,0,0,2,2,0,0,0,0,0,2,0,0
51579392,0,2,2,2,2,0,2,2,2,0,2,0
51579393,0,0,2,2,0,2,0,2,0,0,0,0
51579394,0,1,2,2,0,0,2,0,0,0,2,0
51579395,0,1,2,2,2,0,0,0,0,0,2,0
51579396,0,0,2,2,0,0,0,0,0,0,0,0
51579397,0,0,2,2,0,2,0,2,0,0,0,0
51579398,0,1,2,2,0,0,2,0,0,0,2,0
51579399,0,2,2,2,2,0,0,0,0,0,2,0
51579400,0,1,2,2,0,0,0,0,0,0,0,0
51579408,0,2,2,2,2,0,2,2,2,0,2,0
51579409,0,1,2,2,0,2,0,2,2,0,2,0
51579410,0,0,2,2,0,0,2,0,2,2,2,0
51579411,0,1,2,2,2,0,0,0,0,2,0,0
51579412,0,2,2,2,0,0,0,0,2,0,2,0
51579413,0,0,2,2,0,2,0,2,2,0,2,0
51579414,0,2,2,2,0,0,2,0,2,0,2,0
51579415,0,1,2,2,2,0,0,0,0,0,0,0
51579416,0,2,2,2,0,0,0,0,0,0,0,0
51579648,0,2,2,2,2,0,2,2,0,0,0,0
51579649,0,1,2,2,0,2,0,2,0,0,0,0
51579650,0,1,2,2,0,0,2,0,0,0,0,0
51579651,0,1,2,2,2,0,0,0,0,0,0,0
51579652,0,0,2,2,0,0,0,0,0,0,0,0
51579653,0,1,2,2,0,2,0,2,0,0,0,0
51579654,0,0,2,2,0,0,2,0,0,0,0,0
51579655,0,1,2,2,2,0,0,0,0,0,0,0
51579656,0,0,2,2,0,0,0,0,0,0,0,0
51579664,0,2,2,2,2,0,2,2,0,0,0,0
51579665,0,0,2,2,0,2,0,2,0,0,0,0
51579666,0,2,2,2,0,0,2,0,0,0,0,0
51579667,0,0,2,2,2,0,0,0,0,0,0,0
51579668,0,0,2,2,0,0,0,0,0,0,0,0
51579669,0,0,2,2,0,2,0,2,0,0,0,0
51579670,0,1,2,2,0,0,2,0,0,0,0,0
51579671,0,2,2,2,2,0,0,0,0,0,0,0
51579672,0,0,2,2,0,0,0,0,0,0,0,0
51579904,0,2,2,2,2,0,2,2,2,0,0,0
51579905,0,1,2,2,0,2,0,2,0,0,0,0
51579906,0,2,2,2,0,0,2,0,0,0,0,0
51579907,0,0,2,2,2,0,0,0,2,0,0,0
51579908,0,0,2,2,0,0,0,0,0,0,0,0
51579909,0,0,2,2,0,2,0,2,0,0,0,0
51579910,0,2,2,2,0,0,2,0,2,0,0,0
51579911,0,0,2,2,2,0,0,0,0,0,0,0
51579912,0,2,2,2,0,0,0,0,0,0,0,0
51579920,0,2,2,2,2,0,2,2,2,0,0,0
51579921,0,1,2,2,0,2,0,2,2,0,0,0
51579922,0,0,2,2,0,0,2,0,2,0,0,0
51579923,0,2,2,2,2,0,0,0,0,0,0,0
51579924,0,1,2,2,0,0,0,0,0,0,0,0
51579925,0,0,2,2,0,2,0,2,2,0,0,0
51579926,0,2,2,2,0,0,2,0,2,0,0,0
51579927,0,1,2,2,2,0,0,0,0,0,0,0
51579928,0,1,2,2,0,0,0,0,0,0,0,0
51580160,0,2,2,2,2,0,2,2,2,0,0,0
51580161,0,0,2,2,0,2,0,2,0,0,0,0
51580162,0,1,2,2,0,0,2,0,0,0,0,0
51580163,0,2,2,2,2,0,0,0,0,2,0,0
51580164,0,1,2,2,0,0,0,0,0,0,0,0
51580165,0,1,2,2,0,2,0,2,0,0,0,0
51580166,0,2,2,2,0,0,2,0,0,0,0,0
51580167,0,0,2,2,2,0,0,0,0,0,0,0
51580168,0,1,2,2,0,0,0,0,0,0,0,0
51580176,0,2,2,2,2,0,2,2,2,0,0,0
51580177,0,0,2,2,0,2,0,2,2,2,0,0
51580178,0,0,2,2,0,0,2,0,2,0,0,0
51580179,0,2,2,2,2,0,0,0,0,2,0,0
51580180,0,1,2,2,0,0,0,0,0,0,0,0
51580181,0,0,2,2,0,2,0,2,2,2,0,0
51580182,0,1,2,2,0,0,2,0,2,0,0,0
51580183,0,0,2,2,2,0,0,0,0,2,0,0
51580184,0,1,2,2,0,0,0,0,0,2,0,0
51580416,0,2,2,2,2,0,2,2,2,0,2,0
51580417,0,0,2,2,0,2,0,2,0,0,0,0
51580418,0,2,2,2,0,0,2,0,0,0,2,0
51580419,0,1,2,2,2,0,0,0,0,0,2,0
51580420,0,2,2,2,0,0,0,0,0,0,0,0
51580421,0,2,2,2,0,2,0,2,0,0,0,0
51580422,0,2,2,2,0,0,2,0,0,0,2,0
51580423,0,1,2,2,2,0,0,0,0,0,2,0
51580424,0,0,2,2,0,0,0,0,0,0,0,0
51580432,0,2,2,2,2,0,2,2,2,0,2,0
51580433,0,2,2,2,0,2,0,2,2,0,2,0
51580434,0,0,2,2,0,0,2,0,2,0,2,0
51580435,0,1,2,2,2,0,0,0,0,2,0,0
51580436,0,0,2,2,0,0,0,0,0,0,0,0
51580437,0,1,2,2,0,2,0,2,2,0,2,0
51580438,0,0,2,2,0,0,2,0,2,2,2,0
51580439,0,2,2,2,2,0,0,0,0,0,0,0
51580440,0,0,2,2,0,0,0,0,0,2,0,0
51580672,0,2,2,2,2,0,2,2,2,0,2,0
51580673,0,0,2,2,0,2,0,2,0,0,0,0
51580674,0,1,2,2,0,0,2,0,0,0,2,0
51580675,0,1,2,2,2,0,0,0,0,0,2,0
51580676,0,0,2,2,0,0,0,0,0,0,0,0
51580677,0,0,2,2,0,2,0,2,0,0,0,0
51580678,0,1,2,2,0,0,2,0,0,0,2,0
51580679,0,2,2,2,2,0,0,0,0,0,2,0
51580680,0,1,2,2,0,0,0,0,0,0,0,0
51580688,0,2,2,2,2,0,2,2,2,0,2,0
51580689,0,1,2,2,0,2,0,2,2,0,2,0
51580690,0,0,2,2,0,0,2,0,2,2,2,0
51580691,0,1,2,2,2,0,0,0,0,2,0,0
51580692,0,2,2,2,0,0,0,0,2,0,2,0
51580693,0,0,2,2,0,2,0,2,2,0,2,0
51580694,0,2,2,2,0,0,2,0,2,0,2,0
51580695,0,1,2,2,2,0,0,0,0,0,0,0
51580696,0,2,2,2,0,0,0,0,0,0,0,0
51581184,0,2,0,0,2,0,2,2,0,0,0,0
51581185,0,0,2,2,0,2,0,2,0,0,0,0
51581186,0,2,2,2,0,0,2,0,0,0,0,0
51581187,0,1,2,2,2,0,0,0,0,0,0,0
51581188,0,2,2,2,0,0,0,0,0,0,0,0
51581189,0,0,2,2,0,2,0,2,0,0,0,0
51581190,0,1,2,2,0,0,2,0,0,0,0,0
51581191,0,2,2,2,2,0,0,0,0,0,0,0
51581192,0,0,2,2,0,0,0,0,0,0,0,0
51581200,0,2,0,0,2,0,2,2,0,0,0,0
51581201,0,0,2,2,0,2,0,2,0,0,0,0
51581202,0,1,2,2,0,0,2,0,0,0,0,0
51581203,0,2,2,2,2,0,0,0,0,0,0,0
51581204,0,1,2,2,0,0,0,0,0,0,0,0
51581205,0,2,2,2,0,2,0,2,0,0,0,0
51581206,0,1,2,2,0,0,2,0,0,0,0,0
51581207,0,0,2,2,2,0,0,0,0,0,0,0
51581208,0,0,2,2,0,0,0,0,0,0,0,0
51581440,0,2,0,0,2,0,2,2,2,0,0,0
51581441,0,1,2,2,0,2,0,2,0,0,0,0
51581442,0,0,2,2,0,0,2,0,0,0,0,0
51581443,0,1,2,2,2,0,0,0,0,0,0,0
51581444,0,1,2,2,0,0,0,0,0,0,0,0
51581445,0,1,2,2,0,2,0,2,0,0,0,0
51581446,0,1,2,2,0,0,2,0,0,0,0,0
51581447,0,1,2,2,2,0,0,0,0,0,0,0
51581448,0,0,2,2,0,0,0,0,0,0,0,0
51581456,0,2,0,0,2,0,2,2,2,0,0,0
51581457,0,1,2,2,0,2,0,2,2,0,0,0
51581458,0,1,2,2,0,0,2,0,2,0,0,0
51581459,0,2,2,2,2,0,0,0,0,0,0,0
51581460,0,1,2,2,0,0,0,0,0,0,0,0
51581461,0,2,2,2,0,2,0,2,2,0,0,0
51581462,0,2,2,2,0,0,2,0,2,0,0,0
51581463,0,2,2,2,2,0,0,0,0,0,0,0
51581464,0,1,2,2,0,0,0,0,0,0,0,0
51581696,0,2,0,0,2,0,2,2,2,0,2,0
51581697,0,1,2,2,0,2,0,2,0,0,0,0
51581698,0,0,2,2,0,0,2,0,0,0,2,0
51581699,0,0,2,2,2,0,0,0,0,0,2,0
51581700,0,2,2,2,0,0,0,0,0,0,0,0
51581701,0,2,2,2,0,2,0,2,0,0,0,0
51581702,0,1,2,2,0,0,2,0,0,0,2,0
51581703,0,0,2,2,2,0,0,0,0,0,2,0
51581704,0,1,2,2,0,0,0,0,0,0,0,0
51581712,0,2,0,0,2,0,2,2,2,0,2,0
51581713,0,0,2,2,0,2,0,2,2,0,2,0
51581714,0,0,2,2,0,0,2,0,2,0,2,0
51581715,0,0,2,2,2,0,0,0,0,0,0,0
51581716,0,1,2,2,0,0,0,0,0,0,0,0
51581717,0,1,2,2,0,2,0,2,2,0,2,0
51581718,0,1,2,2,0,0,2,0,2,0,2,0
51581719,0,1,2,2,2,0,0,0,0,0,0,0
51581720,0,2,2,2,0,0,0,0,0,0,0,0
51581952,0,2,0,0,2,0,2,2,2,0,2,0
51581953,0,1,2,2,0,2,0,2,0,0,0,0
51581954,0,1,2,2,0,0,2,0,0,0,2,0
51581955,0,2,2,2,2,0,0,0,0,0,2,0
51581956,0,1,2,2,0,0,0,0,0,0,0,0
51581957,0,2,2,2,0,2,0,2,0,0,0,0
51581958,0,0,2,2,0,0,2,0,0,0,2,0
51581959,0,2,2,2,2,0,0,0,0,0,2,0
51581960,0,2,2,2,0,0,0,0,0,0,0,0
51581968,0,2,0,0,2,0,2,2,2,0,2,0
51581969,0,1,2,2,0,2,0,2,2,0,2,0
51581970,0,2,2,2,0,0,2,0,2,0,2,0
51581971,0,0,2,2,2,0,0,0,0,0,0,0
51581972,0,0,2,2,0,0,0,0,0,0,0,0
51581973,0,0,2,2,0,2,0,2,2,0,2,0
51581974,0,1,2,2,0,0,2,0,2,0,2,0
51581975,0,0,2,2,2,0,0,0,0,0,0,0
51581976,0,2,2,2,0,0,0,0,0,0,0,0
51582208,0,2,0,0,2,0,2,2,2,0,2,0
51582209,0,2,2,2,0,2,0,2,0,0,0,0
51582210,0,2,2,2,0,0,2,0,0,0,2,0
51582211,0,1,2,2,2,0,0,0,0,0,2,0
51582212,0,0,2,2,0,0,0,0,0,0,0,0
51582213,0,2,2,2,0,2,0,2,0,0,0,0
51582214,0,0,2,2,0,0,2,0,0,0,2,0
51582215,0,2,2,2,2,0,0,0,0,0,2,0
51582216,0,1,2,2,0,0,0,0,0,0,0,0
51582224,0,2,0,0,2,0,2,2,2,0,2,0
51582225,0,2,2,2,0,2,0,2,2,0,2,0
51582226,0,0,2,2,0,0,2,0,2,0,2,0
51582227,0,0,2,2,2,0,0,0,0,0,0,0
51582228,0,2,2,2,0,0,0,0,0,0,0,0
51582229,0,2,2,2,0,2,0,2,2,0,2,0
51582230,0,2,2,2,0,0,2,0,2,0,2,0
51582231,0,2,2,2,2,0,0,0,0,0,0,0
51582232,0,0,2,2,0,0,0,0,0,0,0,0
51582464,0,2,0,0,2,0,2,2,0,0,0,0
51582465,0,0,2,2,0,2,0,2,0,0,0,0
51582466,0,2,2,2,0,0,2,0,0,0,0,0
51582467,0,1,2,2,2,0,0,0,0,0,0,0
51582468,0,2,2,2,0,0,0,0,0,0,0,0
51582469,0,0,2,2,0,2,0,2,0,0,0,0
51582470,0,1,2,2,0,0,2,0,0,0,0,0
51582471,0,2,2,2,2,0,0,0,0,0,0,0
51582472,0,0,2,2,0,0,0,0,0,0,0,0
51582480,0,2,0,0,2,0,2,2,0,0,0,0
51582481,0,0,2,2,0,2,0,2,0,0,0,0
51582482,0,1,2,2,0,0,2,0,0,0,0,0
51582483,0,2,2,2,2,0,0,0,0,0,0,0
51582484,0,1,2,2,0,0,0,0,0,0,0,0
51582485,0,2,2,2,0,2,0,2,0,0,0,0
51582486,0,1,2,2,0,0,2,0,0,0,0,0
51582487,0,0,2,2,2,0,0,0,0,0,0,0
51582488,0,0,2,2,0,0,0,0,0,0,0,0
51582720,0,2,0,0,2,0,2,2,2,0,0,0
51582721,0,1,2,2,0,2,0,2,0,0,0,0
51582722,0,0,2,2,0,0,2,0,0,0,0,0
51582723,0,1,2,2,2,0,0,0,0,0,0,0
51582724,0,1,2,2,0,0,0,0,0,0,0,0
51582725,0,1,2,2,0,2,0,2,0,0,0,0
51582726,0,1,2,2,0,0,2,0,0,0,0,0
51582727,0,1,2,2,2,0,0,0,0,0,0,0
51582728,0,0,2,2,0,0,0,0,0,0,0,0
51582736,0,2,0,0,2,0,2,2,2,0,0,0
51582737,0,1,2,2,0,2,0,2,2,0,0,0
51582738,0,1,2,2,0,0,2,0,2,0,0,0
51582739,0,2,2,2,2,0,0,0,0,0,0,0
51582740,0,1,2,2,0,0,0,0,0,0,0,0
51582741,0,2,2,2,0,2,0,2,2,0,0,0
51582742,0,2,2,2,0,0,2,0,2,0,0,0
51582743,0,2,2,2,2,0,0,0,0,0,0,0
51582744,0,1,2,2,0,0,0,0,0,0,0,0
51582976,0,2,0,0,2,0,2,2,2,0,2,0
51582977,0,1,2,2,0,2,0,2,0,0,0,0
51582978,0,0,2,2,0,0,2,0,0,0,2,0
51582979,0,0,2,2,2,0,0,0,0,0,2,0
51582980,0,2,2,2,0,0,0,0,0,0,0,0
51582981,0,2,2,2,0,2,0,2,0,0,0,0
51582982,0,1,2,2,0,0,2,0,0,0,2,0
51582983,0,0,2,2,2,0,0,0,0,0,2,0
51582984,0,1,2,2,0,0,0,0,0,0,0,0
51582992,0,2,0,0,2,0,2,2,2,0,2,0
51582993,0,0,2,2,0,2,0,2,2,0,2,0
51582994,0,0,2,2,0,0,2,0,2,0,2,0
51582995,0,0,2,2,2,0,0,0,0,0,0,0
51582996,0,1,2,2,0,0,0,0,0,0,0,0
51582997,0,1,2,2,0,2,0,2,2,0,2,0
51582998,0,1,2,2,0,0,2,0,2,0,2,0
51582999,0,1,2,2,2,0,0,0,0,0,0,0
51583000,0,2,2,2,0,0,0,0,0,0,0,0
51583232,0,2,0,0,2,0,2,2,2,0,2,0
51583233,0,1,2,2,0,2,0,2,0,0,0,0
51583234,0,1,2,2,0,0,2,0,0,0,2,0
51583235,0,2,2,2,2,0,0,0,0,0,2,0
51583236,0,1,2,2,0,0,0,0,0,0,0,0
51583237,0,2,2,2,0,2,0,2,0,0,0,0
51583238,0,0,2,2,0,0,2,0,0,0,2,0
51583239,0,2,2,2,2,0,0,0,0,0,2,0
51583240,0,2,2,2,0,0,0,0,0,0,0,0
51583248,0,2,0,0,2,0,2,2,2,0,2,0
51583249,0,1,2,2,0,2,0,2,2,0,2,0
51583250,0,2,2,2,0,0,2,0,2,0,2,0
51583251,0,0,2,2,2,0,0,0,0,0,0,0
51583252,0,0,2,2,0,0,0,0,0,0,0,0
51583253,0,0,2,2,0,2,0,2,2,0,2,0
51583254,0,1,2,2,0,0,2,0,2,0,2,0
51583255,0,0,2,2,2,0,0,0,0,0,0,0
51583256,0,2,2,2,0,0,0,0,0,0,0,0
51583488,0,2,0,0,2,0,2,2,2,0,2,0
51583489,0,2,2,2,0,2,0,2,0,0,0,0
51583490,0,2,2,2,0,0,2,0,0,0,2,0
51583491,0,1,2,2,2,0,0,0,0,0,2,0
51583492,0,0,2,2,0,0,0,0,0,0,0,0
51583493,0,2,2,2,0,2,0,2,0,0,0,0
51583494,0,0,2,2,0,0,2,0,0,0,2,0
51583495,0,2,2,2,2,0,0,0,0,0,2,0
51583496,0,1,2,2,0,0,0,0,0,0,0,0
51583504,0,2,0,0,2,0,2,2,2,0,2,0
51583505,0,2,2,2,0,2,0,2,2,0,2,0
51583506,0,0,2,2,0,0,2,0,2,0,2,0
51583507,0,0,2,2,2,0,0,0,0,0,0,0
51583508,0,2,2,2,0,0,0,0,0,0,0,0
51583509,0,2,2,2,0,2,0,2,2,0,2,0
51583510,0,2,2,2,0,0,2,0,2,0,2,0
51583511,0,2,2,2,2,0,0,0,0,0,0,0
51583512,0,0,2,2,0,0,0,0,0,0,0,0
51583744,0,2,0,0,2,0,2,2,0,0,0,0
51583745,0,0,2,2,0,2,0,2,0,0,0,0
51583746,0,2,2,2,0,0,2,0,0,0,0,0
51583747,0,1,2,2,2,0,0,0,0,0,0,0
51583748,0,2,2,2,0,0,0,0,0,0,0,0
51583749,0,0,2,2,0,2,0,2,0,0,0,0
51583750,0,1,2,2,0,0,2,0,0,0,0,0
51583751,0,2,2,2,2,0,0,0,0,0,0,0
51583752,0,0,2,2,0,0,0,0,0,0,0,0
51583760,0,2,0,0,2,0,2,2,0,0,0,0
51583761,0,0,2,2,0,2,0,2,0,0,0,0
51583762,0,1,2,2,0,0,2,0,0,0,0,0
51583763,0,2,2,2,2,0,0,0,0,0,0,0
51583764,0,1,2,2,0,0,0,0,0,0,0,0
51583765,0,2,2,2,0,2,0,2,0,0,0,0
51583766,0,1,2,2,0,0,2,0,0,0,0,0
51583767,0,0,2,2,2,0,0,0,0,0,0,0
51583768,0,0,2,2,0,0,0,0,0,0,0,0
51584000,0,2,0,0,2,0,2,2,2,0,0,0
51584001,0,1,2,2,0,2,0,2,0,0,0,0
51584002,0,0,2,2,0,0,2,0,0,0,0,0
51584003,0,1,2,2,2,0,0,0,0,0,0,0
51584004,0,1,2,2,0,0,0,0,0,0,0,0
51584005,0,1,2,2,0,2,0,2,0,0,0,0
51584006,0,1,2,2,0,0,2,0,0,0,0,0
51584007,0,1,2,2,2,0,0,0,0,0,0,0
51584008,0,0,2,2,0,0,0,0,0,0,0,0
51584016,0,2,0,0,2,0,2,2,2,0,0,0
51584017,0,1,2,2,0,2,0,2,2,0,0,0
51584018,0,1,2,2,0,0,2,0,2,0,0,0
51584019,0,2,2,2,2,0,0,0,0,0,0,0
51584020,0,1,2,2,0,0,0,0,0,0,0,0
51584021,0,2,2,2,0,2,0,2,2,0,0,0
51584022,0,2,2,2,0,0,2,0,2,0,0,0
51584023,0,2,2,2,2,0,0,0,0,0,0,0
51584024,0,1,2,2,0,0,0,0,0,0,0,0
51584256,0,2,0,0,2,0,2,2,2,0,2,0
