idKey,type,desc,Korean,English (United States),Japanese
1964573195,text,,지금 프라임과 함께 있거든!,지금 프라임과 함께 있거든!,今コンボイ司令と一緒だよ!
1964573196,text,,정말이야!?,정말이야!?,本当か⁉
1964573197,text,,응!...,응!...,うん…!
1964573198,text,,프라임! 프라임!,프라임! 프라임!,司令官! 
1964573199,text,,오오!... 나의 친애하는 벗 재즈!...,오오!... 나의 친애하는 벗 재즈!...,おお、親愛なる我が友マイスター…!
1964573200,text,,프라임!...,프라임!...,司令…!
1964573201,text,,에잇!,에잇!,えいっ!
1964573202,text,,으앗!?,으앗!?,うわっ⁉
1964573203,text,,범블비! 뭐하는 거야? 이거 놔줘!,범블비! 뭐하는 거야? 이거 놔줘!,バンブル!　何をしているんだ?　離せ!
1964573204,text,,잡았어요! 프라임!,잡았어요! 프라임!,捕まえましたよ、司令官!
1964573205,text,,휼륭하다! 범블비!,휼륭하다! 범블비!,よくやったぞ、バンブル!
1964573206,text,,작전을 위해서는 수가 많은 편이 좋지.,작전을 위해서는 수가 많은 편이 좋지.,作戦のためには数が多いほうが良い。
1964573207,text,,"자, 작전...?","자, 작전...?",さ、作戦だと…?
1964573208,text,,범블비. 재즈를 데려간다.,범블비. 재즈를 데려간다.,バンブル、マイスターを連れていくぞ。
1964573209,text,,네!!,네!!,はい!!!
1964573210,text,,(재즈의 뒷통수를 강력하게 후려 갈기는 소리!),(재즈의 뒷통수를 강력하게 후려 갈기는 소리!),(マイスターの後ろ頭を打つ音)
1964573211,text,,윽!!!,윽!!!,ううっ!!!
1964573212,text,,(털썩!),(털썩!),(ドサッ!)
1964573213,text,,재즈. 우리는 구질구질한 사이버트론을 버린다.,재즈. 우리는 구질구질한 사이버트론을 버린다.,マイスター、俺たちは古臭いセイバートロン星を捨てる。
1964573214,text,,그리고 이 지구를 우리의 새로운 고향으로 삼을 것이다.,그리고 이 지구를 우리의 새로운 고향으로 삼을 것이다.,そしてこの地球を俺らの新しい故郷とするのだ。
1964573215,text,,물론 성가신 지구의 인류는 모조리 밟아 해치워버려야지.,물론 성가신 지구의 인류는 모조리 밟아 해치워버려야지.,勿論厄介な地球の人間は全部踏みにじって片付ける。
1964573216,text,,"그리고 지구의 에너지를 한데 끌어모아 독점하고, 우리는 강력한 지배자로 군림하는 것이다!","그리고 지구의 에너지를 한데 끌어모아 독점하고, 우리는 강력한 지배자로 군림하는 것이다!",そして俺たちは地球のエネルギを独占して強力な支配者として君臨するのだ!
1964573217,text,,으하하하하하!!!,으하하하하하!!!,うははははははははは!!!
1964581121,text,,에... 개발일지. 개발일지.,에... 개발일지. 개발일지.,え…と、どれどれ...開発日記、開発日記が…。
1964581122,text,,"[ 오토봇들을 무작정 찾아나선다는, 미련하고 비효율적인 그 방법은... 본인의 천재적인 두뇌가 너무 아까운 일인 것이다. ]","[ 오토봇들을 무작정 찾아나선다는, 미련하고 비효율적인 그 방법은... 본인의 천재적인 두뇌가 너무 아까운 일인 것이다. ]",[何の計画もなくサイバトロンを探し出すという非効率な方法は…吾輩の天才的な頭脳がもったいないことだ。]
1964581123,text,,"[ 고로 본인은, 오토봇 디텍터의 개발에 성공하여 이 일지를 남긴다. ]","[ 고로 본인은, 오토봇 디텍터의 개발에 성공하여 이 일지를 남긴다. ]",[というわけで吾輩はサイバトロンのディテクターの開発に成功してこのように書いておく。]
1964581124,text,,"[ 이름 그대로, 주변의 오토봇들을 탐지해주는 스트레이트한 네이밍의 머신이다. ]","[ 이름 그대로, 주변의 오토봇들을 탐지해주는 스트레이트한 네이밍의 머신이다. ]",[その名の通り、周りのサイバトロンを探知するストレートなネーミングのマシーンである。]
1964581125,text,,[ 자세한 공식은 부록된 문서에 별기한다. ],[ 자세한 공식은 부록된 문서에 별기한다. ],[詳しい公式は別途文書に書いておく。]
1964581126,text,,자... 일단 여기까지 기록을...,자... 일단 여기까지 기록을...,さぁ、先ずはここまで書いといて…。
1964581127,text,,"아, 가만있자...","아, 가만있자...",あ、ちょっと待った…。
1964581128,text,,[ 덧붙임... 벡터 시그마 사건. 본인은 그 사건을 이렇게 부른다. 그게 아무래도 심각해보인다. ],[ 덧붙임... 벡터 시그마 사건. 본인은 그 사건을 이렇게 부른다. 그게 아무래도 심각해보인다. ],[追記…ベクターシグマ事件。本人はその事件をこう呼んでいる。それがどうやらよっぽど様子がおかしく見える。]
1964581129,text,,[ 무질서하게 나타나는 스페이스 브리지들에서 정체를 형언할 수 없는 마이너스 에너지가 감지된다. ],[ 무질서하게 나타나는 스페이스 브리지들에서 정체를 형언할 수 없는 마이너스 에너지가 감지된다. ],[大量に発生されたスペースブリッジから正体不明のマイナスエネルギーが感知された。]
1964581130,text,,[ 거기에 빨려들어간 사이버트론인들이 무사해야 할텐데 걱정이다. ],[ 거기에 빨려들어간 사이버트론인들이 무사해야 할텐데 걱정이다. ],[そこに吸い込まれたセイバートロニアンが無事だったらいいが、とっても心配だ。］
1964581131,text,,"흠... 좌우지간, 이렇게 해서.","흠... 좌우지간, 이렇게 해서.",ふむ、とにかくこうして。
1964581132,text,,오토봇 디텍터 완성!!,오토봇 디텍터 완성!!,サイバトロンディテクター完成!!
1964581377,text,,(오토봇 디텍터의 신호가 울리는 소리!),(오토봇 디텍터의 신호가 울리는 소리!),(サイバトロンディテクターが鳴る音!)
1964581378,text,,아니??,아니??,おや⁇
1964581379,text,,이거 작동하자마자 신호가 오는군!!,이거 작동하자마자 신호가 오는군!!,これは作動したとたん信号が来るとは!!
1964581380,text,,'오토봇 포착'!...,'오토봇 포착'!...,サイバトロン、発見。
1964581381,text,,좋아좋아! 역시 내가 만든 물건답군! 아주 훌륭해!,좋아좋아! 역시 내가 만든 물건답군! 아주 훌륭해!,よし、やっぱり吾輩が開発した物だ。素晴らしいぞ!!
1964581382,text,,...응? 신호 강도가 점점 더 강해진다?,...응? 신호 강도가 점점 더 강해진다?,…うん?　信号が段々強くなっているぞ?
1964581383,text,,이 쪽으로 오고있나보군!,이 쪽으로 오고있나보군!,こっちに向かってるみたいじゃな!
1964581384,text,,이게 누구인가!,이게 누구인가!,これはこれは!
1964581385,text,,내 소중한 친구 휠잭!,내 소중한 친구 휠잭!,大切な我が友、ホイルジャック!
1964581386,text,,옵티머스!!,옵티머스!!,司令官!
1964581387,text,,마침 잘 왔어요! 제가 무얼 만들었는지!...,마침 잘 왔어요! 제가 무얼 만들었는지!...,ちょうどよかった!　私がこんな物を作っ…!
1964581388,text,,잘했네. 휠잭.,잘했네. 휠잭.,よくやったぞ、ホイルジャック。
1964581389,text,,"아, 아직 설명도 안 했는데...","아, 아직 설명도 안 했는데...",え？まだ何も言ってないのに…。
1964581390,text,,자네가 하는 일인데 굳이 이야기 하지 않아도 신뢰할 수 있지 않겠나?,자네가 하는 일인데 굳이 이야기 하지 않아도 신뢰할 수 있지 않겠나?,君のやる仕事はわざわざ言わなくても信頼できるぞ。
1964581391,text,,"... 고, 고마워요. 옵티머스...","... 고, 고마워요. 옵티머스...",…あ、ありがとうございます。司令官…。
1964581392,text,,우리에겐 자네와 자네의 능력이 필요해.,우리에겐 자네와 자네의 능력이 필요해.,俺たちには君と君の能力が必要だ。
1964581393,text,,큰 계획을 성공시키기 위해서 말일세.,큰 계획을 성공시키기 위해서 말일세.,大きな計画を成功させるためにな。
1964581394,text,,계획이라구요?,계획이라구요?,計画…ですと?
1964581395,text,,그렇지. 잘 듣게 휠잭.,그렇지. 잘 듣게 휠잭.,そう、よく聞いてくれ。ホイルジャック。
1964581396,text,,"우리는 사이버트론을 버리고, 이 지구를 새 고향으로 만들 걸세.","우리는 사이버트론을 버리고, 이 지구를 새 고향으로 만들 걸세.",俺たちはセイバートロンを捨ててこの地球を新しい故郷とする。
1964581397,text,,그러기 위해서는 성가신 지구 인류들은 싹 치워버려야 해.,그러기 위해서는 성가신 지구 인류들은 싹 치워버려야 해.,そうするためには厄介な地球の人間は滅ぼさないといけない。
1964581398,text,,맙소사... 옵티머스!! 뭐 잘못 먹은거 아니에요?,맙소사... 옵티머스!! 뭐 잘못 먹은거 아니에요?,どういうことですか、司令官!! なんか悪いものでも食べたんじゃないですか?
1964581399,text,,머리가 고장이 난거 아닙니까??,머리가 고장이 난거 아닙니까??,頭がどうかしているんじゃないですか⁇
1964581400,text,,그럴리가 없지. 그를 잡도록!!,그럴리가 없지. 그를 잡도록!!,そんなわけない、彼を捕まえろ!!
1964581401,text,,에잇!!,에잇!!,えいっ!!
1964581402,text,,후후후!!,후후후!!,ふふふ!!
1964581403,text,,으악!?,으악!?,うあっ⁉
1964581404,text,,뭐야!,뭐야!,何だ!
1964581405,text,,범블비?... 알시?...,범블비?... 알시?...,バンブル…?　アーシー…?
1964581406,text,,뭐하는 거야! 이거 놔!!,뭐하는 거야! 이거 놔!!,何をしているんだ! 離せ!!
1964581407,text,,움직이지 말아요. 휠잭.,움직이지 말아요. 휠잭.,動かないで、ホイルジャック。
1964581408,text,,우리편이 되는게 좋을거에요!,우리편이 되는게 좋을거에요!,大人しくこっちの味方になった方がいいですよ!
1964581409,text,,"도, 도대체 무슨 소리들을!!...","도, 도대체 무슨 소리들을!!...",いったいみんな何のこと…!!
1964581410,text,,휠잭!,휠잭!,ホイルジャック!!
1964581411,text,,우주의 모든 에너지는 우리 손안에 들어오게 될거야!,우주의 모든 에너지는 우리 손안에 들어오게 될거야!,全宇宙のエネルギーはもうすぐ俺らの手に入る!
1964581412,text,,그리고 강력한 지배자로 군림하는걸세!,그리고 강력한 지배자로 군림하는걸세!,そして強力な支配者として君臨するのだ!
1964581413,text,,익!.... 메가트론 같은 소리하지 말아요. 옵티머스!!,익!.... 메가트론 같은 소리하지 말아요. 옵티머스!!,っ…!　メガトロンみたいなことは言わないでください、司令官!!
1964581414,text,,"메가트론 같은 버러지 따위는 여기서 논할 가치도 없다네, 휠잭.","메가트론 같은 버러지 따위는 여기서 논할 가치도 없다네, 휠잭.",メガトロンなんか口にするまでもないぞ、ホイルジャック。
1964581415,text,,과학의 위대함을 보여주게 휠잭. 절대적인 힘 앞에 모두 무릎을 꿇도록 만드는걸세!,과학의 위대함을 보여주게 휠잭. 절대적인 힘 앞에 모두 무릎을 꿇도록 만드는걸세!,科学の力を見せてくれホイルジャック、絶対的な力の前にみんな跪かせるのだ。
1964581416,text,,늘 말하지만 과학은 정의와 양심 위에 꽃피는!,늘 말하지만 과학은 정의와 양심 위에 꽃피는!,いつも言っていますが、科学は正義と良心を元に…!
1964581417,text,,"오, 휠잭. 정의와 양심도 시대와 상황에 따라 변하지. 이제 곧 알게 될거야...","오, 휠잭. 정의와 양심도 시대와 상황에 따라 변하지. 이제 곧 알게 될거야...",おお、ホイルジャック。正義も良心も時代と状況によって変わるものだ。もうすぐ分かる時が来るぞ…。
1964581418,text,,일단 데려가지.,일단 데려가지.,一旦、連れていけ。
1964581419,text,,네!,네!,はい!!!
1964581420,text,,(뒷통수를 강하게 때리는 소리!),(뒷통수를 강하게 때리는 소리!),(後ろ頭を打つ音)
1964581421,text,,(털썩!),(털썩!),(ドサッ!)
1964581422,text,,뭐든지 차근차근해야 탈이 없는 법이지. 후후후...,뭐든지 차근차근해야 탈이 없는 법이지. 후후후...,何でもコツコツと計画通りにすりゃ失敗することはないぞ。ふふふ…。
1964577025,text,,이런 저런 고민할게 뭐 있어? 걱정한다고 동료들이 알아서 찾아올 것도 아니고!,이런 저런 고민할게 뭐 있어? 걱정한다고 동료들이 알아서 찾아올 것도 아니고!,悩むことないさ。心配しても仲間たちが戻ってくるわけでもないからな。
1964577026,text,,당장 행동개시다!,당장 행동개시다!,早速行動開始だ!
1964577027,text,,(잠시 후),(잠시 후),(しばらく後)
1964577028,text,,오토봇!,오토봇!,サイバトロン!
1964577029,text,,아! 깜짝 놀랐잖아!,아! 깜짝 놀랐잖아!,あ! びっくりしたじゃないか!
1964577030,text,,여기는 우리 구역이다!,여기는 우리 구역이다!,ここは俺たちの縄張りだ!
1964577031,text,,당장 꺼져라!,당장 꺼져라!,さっそと帰れ!
1964577032,text,,뭐야? 디셉티콘?,뭐야? 디셉티콘?,何だ?　デストロンか?
1964577033,text,,죽었다고 복창이나 해!!,죽었다고 복창이나 해!!,復唱しろ!!　デストロンはもう死んでいるとな!!
1964577034,text,,(잠시 후...),(잠시 후...),(しばらく後)
1964577035,text,,"세, 세다!!...","세, 세다!!...",つ、強い…!!
1964577036,text,,그러게 왜 까불어.,그러게 왜 까불어.,調子に乗るんじゃないぞ!
1964577037,text,,전쟁의 달인인 나에게 말야.,전쟁의 달인인 나에게 말야.,戦闘の達人であるこの俺様にな。
1964577038,text,,하지만 우리보다 수가 많은 건 아니지.,하지만 우리보다 수가 많은 건 아니지.,だが、俺たちより数は少ないさ!
1964577039,text,,스크래퍼! 동시에 몰아친다!,스크래퍼! 동시에 몰아친다!,スクラッパー、一気に攻め込むぞ!
1964577040,text,,크으... 좋아! 각오해라 오토봇!,크으... 좋아! 각오해라 오토봇!,分かった。覚悟しろ、サイバトロン!
1964577041,text,,오냐. 한꺼번에 와라!,오냐. 한꺼번에 와라!,望むところだ、一気にかかってこい!
1964577281,text,,"크윽, 이대로는!!","크윽, 이대로는!!",くっ、このままでは!!
1964577282,text,,무력하기 짝이 없는 놈들!,무력하기 짝이 없는 놈들!,無力極まりないバカどもめ!
1964577283,text,,마지막 기도나 해!!,마지막 기도나 해!!,最後にあの世に祈るがいいぜ!!
1964577284,text,,뭐야? 싸움인가?,뭐야? 싸움인가?,何だあれは?　闘いか?
1964577285,text,,잘됐군! 오토봇을 쓰러뜨리고 리더의 자격을 얻어주겠어!,잘됐군! 오토봇을 쓰러뜨리고 리더의 자격을 얻어주겠어!,ちょうどいい!!　サイバトロンを倒してリーダーの資格を得てみせるぞ!
1964577286,text,,또 나타났어!?,또 나타났어!?,また現れたのか⁉
1964577287,text,,스타스크림! 이제 이쪽이 우세하다!,스타스크림! 이제 이쪽이 우세하다!,スタースクリーム!　もうこっちが優勢だぞ!
1964577288,text,,뒤를 쳐!,뒤를 쳐!,後ろを撃て!
1964577289,text,,"우세라고 생각하냐, 애송이들아?!","우세라고 생각하냐, 애송이들아?!",優勢だと思ってるのか、雑魚どもが⁉
1964577290,text,,(잠시 후...),(잠시 후...),(しばらく後)
1964577291,text,,이 놈은 뭐야! 괴물인가!?,이 놈은 뭐야! 괴물인가!?,こいつはいったい何だ!　化け物か⁉
1964577292,text,,3대 1로 덤볐는데도 밀릴 줄이야!!,3대 1로 덤볐는데도 밀릴 줄이야!!,3対1で掛かったのに負けるとは!!
1964577293,text,,헉... 헉...,헉... 헉...,はぁ…はぁ…。
1964577294,text,,후후후후...,후후후후...,ふふふふ…。
1964577295,text,,봤냐 이놈들?,봤냐 이놈들?,どうだ、お前ら?
1964577296,text,,이제 끝을 내주마!,이제 끝을 내주마!,もうとどめを刺してやる!
1964577297,text,,네녀석들 무덤에 헌화 정도는 해주도록 하지!,네녀석들 무덤에 헌화 정도는 해주도록 하지!,お前らの墓場に献花くらいはしてやるぞ!
1964577298,text,,히이익...,히이익...,ひぃぃ…!!
1964577299,text,,오토봇이다!,오토봇이다!,サイバトロンだ!
1964577300,text,,디셉티콘이 공격받고 있다!,디셉티콘이 공격받고 있다!,デストロンが攻撃されているぞ!
1964577301,text,,!!,!!,!!
1964577302,text,,전력비는 5대 1... 압도적인 승리 예상.,전력비는 5대 1... 압도적인 승리 예상.,戦力比較中、5対1…。圧倒的勝利が予想される。
1964577303,text,,발사!! 집중공격이다!!,발사!! 집중공격이다!!,撃て!! 集中攻撃だ!!
1964577304,text,,"아오, 이런 빌어먹을!!......","아오, 이런 빌어먹을!!......",あ!　もう…!
1964577305,text,,(잠시 후...),(잠시 후...),(しばらく後)
1964577306,text,,순식간에 도망쳐버렸군.,순식간에 도망쳐버렸군.,あっという間に逃げてしまったぜ。
1964577307,text,,멀리 못갔을 거다. 어딘가에 숨어있을게 분명해.,멀리 못갔을 거다. 어딘가에 숨어있을게 분명해.,そう遠くまでは行ってないはずだ、どこかに身を隠しているに違いない。
1964577308,text,,반드시 찾아내야돼!,반드시 찾아내야돼!,必ず探し出せ!!
1964577309,text,,아까 맞은 곳들이 욱신대서 눈물이 쏙 날 지경이다!,아까 맞은 곳들이 욱신대서 눈물이 쏙 날 지경이다!,先やられたどこかずきずきして涙が出るぐらいだ!
1964577310,text,,리더가 되기 위한 제물이야! 놓쳐서는 안돼!,리더가 되기 위한 제물이야! 놓쳐서는 안돼!,リーダーになるための贄だ、逃がすんじゃない!
1964577311,text,,저쪽으로 가보자!,저쪽으로 가보자!,あそこを探してみよう!
1964577312,text,,(......),(......),(......)
1964577313,text,,쳇...,쳇...,ちっ…。
1964577314,text,,무식한 놈들! 도망이라니!... 전략적 후퇴도 모르나?...,무식한 놈들! 도망이라니!... 전략적 후퇴도 모르나?...,バカバカしい!!　逃げただと…?　戦略的撤退も知らんのか…!
1964577315,text,,......,......,......。
1964577316,text,,빨리 누구든 찾아봐야겠어...,빨리 누구든 찾아봐야겠어...,早く誰かを見つけないと…。
1964577537,text,,!?...,!?...,…⁉
1964577538,text,,(누군가 있다!...),(누군가 있다!...),(誰かがいる…!)
1964577539,text,,(제기랄. 벌써 들켰나?...),(제기랄. 벌써 들켰나?...),(くっそー、もうバレたか…?)
1964577540,text,,손들어!,손들어!,手を挙げろ!
1964577541,text,,움직이면 쏴버리겠다!,움직이면 쏴버리겠다!,動いたら撃つぞ!
1964577542,text,,안 움직여도 쏠테다!,안 움직여도 쏠테다!,動かなくても撃つ!
1964577543,text,,귀찮으니까 그냥 쏜다!,귀찮으니까 그냥 쏜다!,面倒くさいから撃つぞ!
1964577544,text,,잘가라!,잘가라!,さらばだ!
1964577545,text,,(총 쏘는 소리!),(총 쏘는 소리!),(銃を撃つ音!)
1964577546,text,,우오오오옷!!!,우오오오옷!!!,うおおおおお!!!
1964577547,text,,!?!...,!?!...,…⁉
1964577548,text,,이 목소리?...,이 목소리?...,この声は…?
1964577549,text,,아이언하이드!!,아이언하이드!!,アイアンハイド!!
1964577550,text,,!!,!!,!!
1964577551,text,,그 문제는 도통 고쳐지지가 않는군!!,그 문제는 도통 고쳐지지가 않는군!!,その問題は改善できないようだな!!
1964577552,text,,프라임!!...,프라임!!...,司令官…!!
1964577553,text,,성질 급한것 말일세! 아이언하이드!,성질 급한것 말일세! 아이언하이드!,気の短いことだぞ!!　アイアンハイド!
1964577554,text,,프라임!!... 이게 어찌된 일입니까!?,프라임!!... 이게 어찌된 일입니까!?,司令官…!　どうしたんですか⁉
1964577555,text,,"엉덩이에 잠깐 불이 나기는 했지만, 여기서 자네를 만나다니 정말 든든하군!","엉덩이에 잠깐 불이 나기는 했지만, 여기서 자네를 만나다니 정말 든든하군!",少し尻に火がついていたが、こんなところで君に会えて安心だ！
1964577556,text,,저도 같은 생각입니다! 어떻게 여기서 만날수 있었던거죠?,저도 같은 생각입니다! 어떻게 여기서 만날수 있었던거죠?,私もです!　でも、どうしてここで会えたのでしょうか?
1964577557,text,,나도 잘 모르겠군. 벡터 시그마가... 폭발했나? 여튼 그 일이 있고 정신차려보니 여기에 떨어져 있었다네.,나도 잘 모르겠군. 벡터 시그마가... 폭발했나? 여튼 그 일이 있고 정신차려보니 여기에 떨어져 있었다네.,俺にもよく分からないが、ベクターシグマが爆発したみたいで気が付いたらここに落ちていたところだった。
1964577558,text,,벡터 시그마가 터졌다고요?,벡터 시그마가 터졌다고요?,ベクターシグマが爆発したんですか?
1964577559,text,,그러지 않았기를 바랄 뿐이네.,그러지 않았기를 바랄 뿐이네.,そうならないことを祈るばかりだ。
1964577560,text,,그보다 아이언하이드. 이 부근에 수상한 녀석들이 있어.,그보다 아이언하이드. 이 부근에 수상한 녀석들이 있어.,それよりアイアンハイド、この近くに怪しい連中がいる。
1964577561,text,,수상한 녀석들이요?...,수상한 녀석들이요?...,怪しい奴らとは…?
1964577562,text,,디셉티콘 말인가요?...,디셉티콘 말인가요?...,デストロンのことですか…?
1964577563,text,,디셉티콘은 아닌거 같아. 다만...,디셉티콘은 아닌거 같아. 다만...,デストロンではないようだ、ただ…。
1964577564,text,,다만?,다만?,ただ?
1964577565,text,,"나랑 똑같이 생긴 녀석과, 범블비... 그리고 알시.","나랑 똑같이 생긴 녀석과, 범블비... 그리고 알시.",俺と同じ格好をしている奴とバンブル…そしてアーシー。
1964577566,text,,!?...,!?...,…⁉
1964577567,text,,녀석들이 재즈와 휠잭을 인질로 붙잡고 있는거 같군.,녀석들이 재즈와 휠잭을 인질로 붙잡고 있는거 같군.,奴らがマイスターとホイルジャックを人質として捕らえてるらしい。
1964577568,text,,인질로요?....,인질로요?....,人質ですか…?
1964577569,text,,아!... 그래서 연락불통이!...,아!... 그래서 연락불통이!...,あ、通りで連絡が…。
1964577570,text,,그렇군!...,그렇군!...,そうだ!
1964577571,text,,그럼 어서 구하러 가죠 프라임!!,그럼 어서 구하러 가죠 프라임!!,じゃ、早く助けに行きましょう、司令官!!
1964577572,text,,좋아. 저쪽으로 이동했으니 추격하도록 하세!,좋아. 저쪽으로 이동했으니 추격하도록 하세!,よし、奴らはあそこに向かっている。俺たちは奴らを追いかけるんだ!
1964577793,text,,이놈들! 당장 멈춰!,이놈들! 당장 멈춰!,お前ら、今すぐ止せ!
1964577794,text,,음!?... 들켰나!?...,음!?... 들켰나!?...,ん…!　バレたか…⁉
1964577795,text,,발생요인을 알 수 없는 나의 거짓 쌍둥이여! 내 친구들을 지금 즉시 풀어주게!,발생요인을 알 수 없는 나의 거짓 쌍둥이여! 내 친구들을 지금 즉시 풀어주게!,得体の知らない俺のクローン!　今すぐ俺の仲間たちを放せ!
1964577796,text,,거짓 쌍둥이?,거짓 쌍둥이?,クローンだと?
1964577797,text,,누가 누구에게 하는 소리야!,누가 누구에게 하는 소리야!,誰が誰に向かって言っているんだ!
1964577798,text,,프라임! 저 자야말로 가짜에요!,프라임! 저 자야말로 가짜에요!,司令官!　あいつこそ偽物です!
1964577799,text,,이건 메가트론의 음모인게 분명해요. 당신의 계획을 훼방 놓으려는 거라구요.,이건 메가트론의 음모인게 분명해요. 당신의 계획을 훼방 놓으려는 거라구요.,これはメガトロンの陰謀に違いない。あなたの計画を邪魔しようとしているんですよ。
1964577800,text,,과연! 메가트론다운 헛된 수작이로군!,과연! 메가트론다운 헛된 수작이로군!,なるほど!　メガトロンの奴、小癪な真似を!
1964577801,text,,나를 거짓 쌍둥이라 주장하는 거짓 쌍둥이여!,나를 거짓 쌍둥이라 주장하는 거짓 쌍둥이여!,俺を偽物というもう偽物のクローンよ!
1964577802,text,,우리의 계획을 방해하려거든 그만한 각오가 있어야 할 것이야!,우리의 계획을 방해하려거든 그만한 각오가 있어야 할 것이야!,俺たちの計画を邪魔するならそれほどの覚悟してくるがいい!!
1964577803,text,,시덥잖은 소리 그만하고 덤벼!,시덥잖은 소리 그만하고 덤벼!,くだらないことは止せ、もうかかってきやがれ!
1964577804,text,,각오해야 하는 쪽이 어느쪽인지 내가 가르쳐주지!,각오해야 하는 쪽이 어느쪽인지 내가 가르쳐주지!,覚悟するほうがどっちなのか俺が教えてやるぞ!
1964577805,text,,과연 그럴까?,과연 그럴까?,それはどうかな?
